0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1.0,0.99997,0.9999,0.99978,0.99962,0.99942,0.99917,0.99887,0.99853,0.99815,0.99773,0.99726,0.99675,0.99619,0.99559,0.99495,0.99427,0.99355,0.99279,0.99199,0.99116,0.99029,0.98938,0.98845,0.98747,0.98647,0.98544,0.98438,0.98329,0.98217,0.98103,0.97986,0.97867,0.97745,0.97621,0.97495,0.97367,0.97236,0.97104,0.9697,0.96834,0.96697,0.96558,0.96417,0.96275,0.96131,0.95986,0.9584,0.95692,0.95543,0.95392,0.95241,0.95088,0.94934,0.94779,0.94623,0.94465,0.94307,0.94147,0.93987,0.93825
0.99997,0.9999,0.99978,0.99962,0.99942,0.99917,0.99887,0.99853,0.99815,0.99773,0.99726,0.99675,0.99619,0.99559,0.99495,0.99427,0.99355,0.99279,0.99199,0.99116,0.99029,0.98938,0.98845,0.98747,0.98647,0.98544,0.98438,0.98329,0.98217,0.98103,0.97986,0.97867,0.97745,0.97621,0.97495,0.97367,0.97236,0.97104,0.9697,0.96834,0.96697,0.96558,0.96417,0.96275,0.96131,0.95986,0.9584,0.95692,0.95543,0.95392,0.95241,0.95088,0.94934,0.94779,0.94623,0.94465,0.94307,0.94147,0.93987,0.93825,0.93663
0.9999,0.99978,0.99962,0.99942,0.99917,0.99887,0.99853,0.99815,0.99773,0.99726,0.99675,0.99619,0.99559,0.99495,0.99427,0.99355,0.99279,0.99199,0.99116,0.99029,0.98938,0.98845,0.98747,0.98647,0.98544,0.98438,0.98329,0.98217,0.98103,0.97986,0.97867,0.97745,0.97621,0.97495,0.97367,0.97236,0.97104,0.9697,0.96834,0.96697,0.96558,0.96417,0.96275,0.96131,0.95986,0.9584,0.95692,0.95543,0.95392,0.95241,0.95088,0.94934,0.94779,0.94623,0.94465,0.94307,0.94147,0.93987,0.93825,0.93663,0.93499
0.99978,0.99962,0.99942,0.99917,0.99887,0.99853,0.99815,0.99773,0.99726,0.99675,0.99619,0.99559,0.99495,0.99427,0.99355,0.99279,0.99199,0.99116,0.99029,0.98938,0.98845,0.98747,0.98647,0.98544,0.98438,0.98329,0.98217,0.98103,0.97986,0.97867,0.97745,0.97621,0.97495,0.97367,0.97236,0.97104,0.9697,0.96834,0.96697,0.96558,0.96417,0.96275,0.96131,0.95986,0.9584,0.95692,0.95543,0.95392,0.95241,0.95088,0.94934,0.94779,0.94623,0.94465,0.94307,0.94147,0.93987,0.93825,0.93663,0.93499,0.93334
0.99962,0.99942,0.99917,0.99887,0.99853,0.99815,0.99773,0.99726,0.99675,0.99619,0.99559,0.99495,0.99427,0.99355,0.99279,0.99199,0.99116,0.99029,0.98938,0.98845,0.98747,0.98647,0.98544,0.98438,0.98329,0.98217,0.98103,0.97986,0.97867,0.97745,0.97621,0.97495,0.97367,0.97236,0.97104,0.9697,0.96834,0.96697,0.96558,0.96417,0.96275,0.96131,0.95986,0.9584,0.95692,0.95543,0.95392,0.95241,0.95088,0.94934,0.94779,0.94623,0.94465,0.94307,0.94147,0.93987,0.93825,0.93663,0.93499,0.93334,0.93169
0.99942,0.99917,0.99887,0.99853,0.99815,0.99773,0.99726,0.99675,0.99619,0.99559,0.99495,0.99427,0.99355,0.99279,0.99199,0.99116,0.99029,0.98938,0.98845,0.98747,0.98647,0.98544,0.98438,0.98329,0.98217,0.98103,0.97986,0.97867,0.97745,0.97621,0.97495,0.97367,0.97236,0.97104,0.9697,0.96834,0.96697,0.96558,0.96417,0.96275,0.96131,0.95986,0.9584,0.95692,0.95543,0.95392,0.95241,0.95088,0.94934,0.94779,0.94623,0.94465,0.94307,0.94147,0.93987,0.93825,0.93663,0.93499,0.93334,0.93169,0.93002
0.99917,0.99887,0.99853,0.99815,0.99773,0.99726,0.99675,0.99619,0.99559,0.99495,0.99427,0.99355,0.99279,0.99199,0.99116,0.99029,0.98938,0.98845,0.98747,0.98647,0.98544,0.98438,0.98329,0.98217,0.98103,0.97986,0.97867,0.97745,0.97621,0.97495,0.97367,0.97236,0.97104,0.9697,0.96834,0.96697,0.96558,0.96417,0.96275,0.96131,0.95986,0.9584,0.95692,0.95543,0.95392,0.95241,0.95088,0.94934,0.94779,0.94623,0.94465,0.94307,0.94147,0.93987,0.93825,0.93663,0.93499,0.93334,0.93169,0.93002,0.92834
0.99887,0.99853,0.99815,0.99773,0.99726,0.99675,0.99619,0.99559,0.99495,0.99427,0.99355,0.99279,0.99199,0.99116,0.99029,0.98938,0.98845,0.98747,0.98647,0.98544,0.98438,0.98329,0.98217,0.98103,0.97986,0.97867,0.97745,0.97621,0.97495,0.97367,0.97236,0.97104,0.9697,0.96834,0.96697,0.96558,0.96417,0.96275,0.96131,0.95986,0.9584,0.95692,0.95543,0.95392,0.95241,0.95088,0.94934,0.94779,0.94623,0.94465,0.94307,0.94147,0.93987,0.93825,0.93663,0.93499,0.93334,0.93169,0.93002,0.92834,0.92666
0.99853,0.99815,0.99773,0.99726,0.99675,0.99619,0.99559,0.99495,0.99427,0.99355,0.99279,0.99199,0.99116,0.99029,0.98938,0.98845,0.98747,0.98647,0.98544,0.98438,0.98329,0.98217,0.98103,0.97986,0.97867,0.97745,0.97621,0.97495,0.97367,0.97236,0.97104,0.9697,0.96834,0.96697,0.96558,0.96417,0.96275,0.96131,0.95986,0.9584,0.95692,0.95543,0.95392,0.95241,0.95088,0.94934,0.94779,0.94623,0.94465,0.94307,0.94147,0.93987,0.93825,0.93663,0.93499,0.93334,0.93169,0.93002,0.92834,0.92666,0.92496
0.99815,0.99773,0.99726,0.99675,0.99619,0.99559,0.99495,0.99427,0.99355,0.99279,0.99199,0.99116,0.99029,0.98938,0.98845,0.98747,0.98647,0.98544,0.98438,0.98329,0.98217,0.98103,0.97986,0.97867,0.97745,0.97621,0.97495,0.97367,0.97236,0.97104,0.9697,0.96834,0.96697,0.96558,0.96417,0.96275,0.96131,0.95986,0.9584,0.95692,0.95543,0.95392,0.95241,0.95088,0.94934,0.94779,0.94623,0.94465,0.94307,0.94147,0.93987,0.93825,0.93663,0.93499,0.93334,0.93169,0.93002,0.92834,0.92666,0.92496,0.92326
